-38.36, 1.06564, -0.700624
-38.35, 1.04893, -0.70285
-38.34, 1.03218, -0.704767
-38.33, 1.0154, -0.706376
-38.32, 0.998602, -0.707677
-38.31, 0.981778, -0.708672
-38.3, 0.964938, -0.709362
-38.29, 0.948087, -0.709746
-38.28, 0.931227, -0.709828
-38.27, 0.914365, -0.709606
-38.26, 0.897503, -0.709083
-38.25, 0.880646, -0.708259
-38.24, 0.863797, -0.707135
-38.23, 0.846961, -0.705712
-38.22, 0.83014, -0.703991
-38.21, 0.813339, -0.701972
-38.2, 0.796561, -0.699656
-38.19, 0.77981, -0.697043
-38.18, 0.763088, -0.694134
-38.17, 0.746401, -0.69093
-38.16, 0.72975, -0.68743
-38.15, 0.71314, -0.683636
-38.14, 0.696573, -0.679546
-38.13, 0.680054, -0.675162
-38.12, 0.663587, -0.670484
-38.11, 0.647173, -0.66551
-38.1, 0.630818, -0.660242
-38.09, 0.614524, -0.654678
-38.08, 0.598296, -0.64882
-38.07, 0.582137, -0.642666
-38.06, 0.566052, -0.636216
-38.05, 0.550043, -0.62947
-38.04, 0.534117, -0.622427
-38.03, 0.518276, -0.615088
-38.02, 0.502525, -0.607451
-38.01, 0.486869, -0.599516
-38, 0.471312, -0.591283
-37.99, 0.45586, -0.582752
-37.98, 0.440517, -0.573922
-37.97, 0.425288, -0.564792
-37.96, 0.410178, -0.555364
-37.95, 0.395194, -0.545636
-37.94, 0.38034, -0.535608
-37.93, 0.365622, -0.525281
-37.92, 0.351047, -0.514655
-37.91, 0.336619, -0.50373
-37.9, 0.322346, -0.492507
-37.89, 0.308234, -0.480986
-37.88, 0.294289, -0.469168
-37.87, 0.280517, -0.457053
-37.86, 0.266926, -0.444644
-37.85, 0.253521, -0.431942
-37.84, 0.240311, -0.418947
-37.83, 0.227302, -0.405663
-37.82, 0.2145, -0.39209
-37.81, 0.201914, -0.378232
-37.8, 0.189549, -0.364091
-37.79, 0.177415, -0.34967
-37.78, 0.165517, -0.334971
-37.77, 0.153862, -0.319998
-37.76, 0.142459, -0.304756
-37.75, 0.131314, -0.289247
-37.74, 0.120434, -0.273476
-37.73, 0.109827, -0.257448
-37.72, 0.0994993, -0.241167
-37.71, 0.0894581, -0.224638
-37.7, 0.0797101, -0.207867
-37.69, 0.0702621, -0.19086
-37.68, 0.0611206, -0.173622
-37.67, 0.0522921, -0.15616
-37.66, 0.0437827, -0.138479
-37.65, 0.0355986, -0.120588
-37.64, 0.0277456, -0.102492
-37.63, 0.0202293, -0.0841993
-37.62, 0.0130552, -0.065717
-37.61, 0.00622828, -0.047053
-37.6, -0.000246401, -0.028215
-37.59, -0.00636426, -0.00921127
-37.58, -0.012121, 0.00995004
-37.57, -0.0175124, 0.0292605
-37.56, -0.0225349, 0.0487114
-37.55, -0.0271849, 0.068294
-37.54, -0.0314594, 0.0879996
-37.53, -0.0353555, 0.107819
-37.52, -0.0388708, 0.127744
-37.51, -0.0420031, 0.147764
-37.5, -0.0447506, 0.167871
-37.49, -0.0471118, 0.188055
-37.48, -0.0490857, 0.208308
-37.47, -0.0506713, 0.228619
-37.46, -0.0518683, 0.248981
-37.45, -0.0526766, 0.269383
-37.44, -0.0530963, 0.289817
-37.43, -0.053128, 0.310274
-37.42, -0.0527725, 0.330744
-37.41, -0.0520311, 0.35122
-37.4, -0.0509051, 0.371692
-37.39, -0.0493963, 0.392151
-37.38, -0.0475068, 0.412591
-37.37, -0.0452389, 0.433001
-37.36, -0.0425951, 0.453375
-37.35, -0.0395782, 0.473705
-37.34, -0.0361914, 0.493982
-37.33, -0.0324378, 0.514201
-37.32, -0.0283208, 0.534353
-37.31, -0.0238442, 0.554431
-37.3, -0.0190118, 0.57443
-37.29, -0.0138274, 0.594342
-37.28, -0.00829512, 0.614162
-37.27, -0.00241921, 0.633884
-37.26, 0.00379607, 0.653501
-37.25, 0.0103464, 0.67301
-37.24, 0.0172272, 0.692405
-37.23, 0.0244342, 0.711681
-37.22, 0.0319629, 0.730833
-37.21, 0.0398087, 0.749858
-37.2, 0.0479672, 0.768751
-37.19, 0.0564339, 0.787509
-37.18, 0.0652045, 0.806128
-37.17, 0.0742746, 0.824605
-37.16, 0.08364, 0.842937
-37.15, 0.0932964, 0.861122
-37.14, 0.10324, 0.879156
-37.13, 0.113466, 0.897036
-37.12, 0.123972, 0.914762
-37.11, 0.134754, 0.932331
-37.1, 0.145807, 0.949741
-37.09, 0.15713, 0.96699
-37.08, 0.168718, 0.984077
-37.07, 0.180568, 1.001
-37.06, 0.192678, 1.01776
-37.05, 0.205046, 1.03435
-37.04, 0.217668, 1.05077
-37.03, 0.230542, 1.06702
-37.02, 0.243667, 1.08311
-37.01, 0.25704, 1.09902
-37, 0.27066, 1.11475
-36.99, 0.284525, 1.13031
-36.98, 0.298634, 1.1457
-36.97, 0.312986, 1.16091
-36.96, 0.32758, 1.17594
-36.95, 0.342414, 1.19079
-36.94, 0.357489, 1.20546
-36.93, 0.372803, 1.21994
-36.92, 0.388356, 1.23423
-36.91, 0.404148, 1.24834
-36.9, 0.420179, 1.26226
-36.89, 0.436449, 1.27598
-36.88, 0.452956, 1.28951
-36.87, 0.469702, 1.30283
-36.86, 0.486687, 1.31596
-36.85, 0.503909, 1.32888
-36.84, 0.52137, 1.34159
-36.83, 0.53907, 1.35408
-36.82, 0.557007, 1.36636
-36.81, 0.575183, 1.37842
-36.8, 0.593597, 1.39025
-36.79, 0.612249, 1.40185
-36.78, 0.631138, 1.41322
-36.77, 0.650263, 1.42434
-36.76, 0.669625, 1.43522
-36.75, 0.689222, 1.44585
